AT2G38280;AT4G25420
AT2G41460;AT4G25470
AT2G41500;AT4G27260
AT2G41430;AT4G28703
AT2G14750;AT4G29930
AT2G32530///AT2G32540;AT4G32280
AT2G32610;AT4G33770
AT2G32620;AT4G34131
AT2G32500;AT4G34380
AT2G32480;AT4G34770
AT2G32600;AT4G35380
AT2G41120;AT4G36040
AT2G41110;AT4G36110
AT2G41080;AT4G37390
AT2G41040;AT4G38620
AT2G41010;AT4G38825
AT2G41000;AT4G38850
AT2G41160;AT4G39670
AT2G41070;AT5G01100
AT2G41090;AT5G02760
AT2G38380///AT2G38390;AT5G04190
AT2G38370;AT5G04770
AT2G38360;AT5G05410
AT2G38330;AT5G05600
AT2G38460;AT5G06080
AT2G38440;AT5G06230
AT2G38420;AT5G09970
AT2G38310;AT5G10695
AT2G38400;AT5G12050
AT2G38465;AT5G13200
AT2G38320;AT5G14730
AT2G38480;AT5G18010
AT2G34300;AT5G18020
AT2G34357;AT5G18030
AT2G34200;AT5G18050
AT2G34500;AT5G18060
AT2G34490;AT5G18080
AT2G34310;AT5G18560
AT2G34470;AT5G20150
AT2G34420///AT2G34430;AT5G20410
AT2G34340;AT5G20790
AT2G34260;AT5G21482
AT2G34460;AT5G24040
AT2G34190;AT5G24090
AT2G34480;AT5G26930
AT2G39350;AT5G35580
AT2G39260;AT5G37540
AT2G39220;AT5G38200
AT2G39340;AT5G41400
AT2G39140;AT5G47370
AT2G39130;AT5G47440
AT2G39280;AT5G48400
AT2G39310;AT5G48410
AT2G39190;AT5G48770
AT2G39210;AT5G51810
AT2G39435///AT2G39440;AT5G52900
AT2G39450;AT5G53048
AT2G39360;AT5G54230
AT2G39580;AT5G54490
AT2G39620;AT5G54500
AT2G39380;AT5G54510
AT2G39470;AT5G56970
AT2G39390;AT5G57520
AT2G39460;AT5G59220
AT2G07690;AT5G59490
AT1G63250///AT2G07750;AT5G59930
AT2G18900;AT5G60680
AT2G18950;AT5G62280
AT2G18980;AT5G64250
AT2G18850;AT5G64770
AT2G18940;AT5G64780
AT2G34520;AT5G66580
AT2G34510;
AT2G34640;
AT2G34630;
AT2G34620;
AT2G34570;
AT2G34590;
AT2G34585;
AT2G45870;
AT2G45860;
AT2G45830;
AT2G45970;
AT2G45950///AT3G61415;
AT2G45980;
AT2G45730;
AT2G45740;
AT2G46000;
AT2G45960;
AT2G45790;
AT2G45850;
AT2G45820;
AT2G45770;
AT2G44660;
AT2G44710;
AT2G44730;
AT2G44820;
AT2G44770;
AT2G44670;
AT2G44790;
AT2G44650///AT2G44660;
AT2G44640;
AT2G44620;
AT2G26080;
AT2G26070;
AT2G25980;
AT2G25930;
AT2G26140;
AT2G25970;
AT2G26060;
AT2G25950;
AT2G25940;
AT2G26810;
AT2G26920;
AT2G26910;
AT2G26900;
AT2G26890;
AT2G26870;
AT2G26830;
AT2G26930;
AT2G26800;
AT2G29980;
AT2G30040;
AT2G05050///AT2G30020///AT3G27140///AT4G08260;
AT2G29990;
AT2G29960;
AT2G30010;
AT2G30000;
AT2G29995;
AT2G44830;
AT2G44920;
AT2G44950;
AT2G44950;
AT2G44870;
AT2G44940;
AT2G44860;
AT2G22840;
AT2G22870;
AT2G22900;
AT2G28930;
AT2G29060;
AT2G29080;
AT2G28940;
AT2G29020;
AT2G02960;
AT2G03070;
AT2G02880;
AT2G03090;
AT2G03020///AT4G16540;
AT2G02990///AT2G16300;
AT2G02950;
AT2G02930///AT4G02520;
AT2G02870;
AT2G47070;
AT2G47000;
AT2G46950;
AT2G46920;
AT2G47130;
AT2G47070;
AT2G46910;
AT2G47110///AT3G62250;
AT2G46900;
AT2G47140;
AT2G46780;
AT2G46820;
AT2G46800;
AT2G46830;
AT2G46670///AT2G46790;
AT2G03220;
AT2G03150;
AT2G03140;
AT2G03240;
AT2G03280;
AT2G03200;
AT2G03120;
AT2G03270;
AT2G19670;
AT2G19930;
AT2G19790;
AT2G19810;
AT2G19740;
AT2G19760;
AT2G19880;
AT2G19940;
AT2G19750;
AT2G25870;
AT2G25870;
AT2G25840;
AT2G25800;
AT2G25760;
AT2G25760;
AT2G25740;
AT2G25880;
AT2G25910;
AT2G25920;
AT2G25830;
AT2G25790;
AT2G29650;
AT2G29630;
AT2G29710///AT2G29730;
AT2G29720///AT2G35660;
AT2G35450;
AT2G35330;
AT2G35530;
AT2G35370;
AT2G35490;
AT2G35605;
AT2G35410;
AT2G35500;
AT2G35510;
AT2G14900;
AT1G13430///AT2G14920;
AT2G14880;
AT2G14890;
AT2G46240;
AT2G46200;
AT2G46180;
AT2G46150;
AT2G46100;
AT2G46070;
AT2G46030;
AT2G46020;
AT2G46310;
AT2G46090;
AT2G46330;
AT2G46280///AT2G46290;
AT2G46230;
AT2G23950;
AT2G24040;
AT2G24090;
AT2G23840;
AT2G23890;
AT2G24060;
AT2G23930;
AT2G24020;
AT2G16970;
AT2G16880;
AT2G16850///AT4G35100;
AT2G16940;
AT2G16900;
AT2G16860;
AT2G35100;
AT2G35270;
AT2G35260;
AT2G35120;
AT2G35155;
AT2G06990;
AT2G47780;
AT2G47820;
AT2G47830;
AT2G47850;
AT2G47940;
AT2G47990;
AT2G47680;
AT2G47700;
AT2G47900;
AT2G47640;
AT2G47910;
AT2G47980;
AT2G47630;
AT2G47710;
AT2G47930;
AT2G47730;
AT2G47840;
AT2G47800;
AT2G47750;
AT2G47790;
AT2G47960;
AT2G31060;
AT2G31090;
AT2G31170;
AT2G31160;
AT2G31070;
AT2G07170;
AT2G43200;
AT2G43235///AT2G43240;
AT2G43260;
AT2G43210;
AT2G43080;
AT2G43190;
AT2G43130;
AT2G38670;
AT2G38620///AT3G54180;
AT2G38780;
